word,in_females,in_males,in_total,
,1649,2462,4111,
excited,99,108,207,
timesbr,24,40,64,
until,131,223,354,
mission,47,83,130,
everybody,17,38,55,
hope,198,277,475,
hear,94,169,263,
head,128,233,361,
seattle,27,41,68,
somebody,21,48,69,
league,21,56,77,
hair,278,285,563,
tobr,66,89,155,
tobe,52,71,123,
occasion,30,40,70,
welcome,29,46,75,
cities,40,54,94,
cutting,30,26,56,
louis,22,31,53,
professional,87,108,195,
son,62,63,125,
kill,89,92,181,
banter,23,28,51,
dream,129,161,290,
backpacking,24,34,58,
were,203,373,576,
prince,45,62,107,
fiction,170,266,436,
thank,36,69,105,
profile,180,339,519,
five,64,124,188,
hanging,230,333,563,
focused,37,63,100,
ihave,134,154,288,
these,286,436,722,
british,36,65,101,
curiosity,41,38,79,
philosophy,35,105,140,
twilight,41,23,64,
diving,27,47,74,
beats,29,45,74,
rules,24,42,66,
bed,115,125,240,
beginning,23,37,60,
ben,29,42,71,
cinema,23,38,61,
forms,42,50,92,
believe,225,344,569,
tasty,25,52,77,
taste,119,156,275,
planning,114,126,240,
musical,73,106,179,
why,305,481,786,
who,1022,1330,2352,
scuba,23,30,53,
marathon,30,28,58,
mess,25,29,54,
rare,23,56,79,
jersey,32,31,63,
gotta,41,65,106,
andthe,60,67,127,
glasses,49,66,115,
s,217,329,546,
tattoos,43,53,96,
steve,27,62,89,
planet,52,90,142,
exactly,38,81,119,
atleast,26,34,60,
ps,22,38,60,
shoesbr,40,47,87,
mind,318,462,780,
mine,72,94,166,
drinks,136,218,354,
hilarious,33,39,72,
current,110,169,279,
emotionally,41,56,97,
andrew,23,31,54,
complete,58,85,143,
grew,182,326,508,
smilebr,26,27,53,
bowie,34,35,69,
games,242,388,630,
castle,29,29,58,
ability,72,98,170,
foodbr,219,401,620,
themselves,65,77,142,
key,48,60,108,
song,103,184,287,
discovering,45,51,96,
drawn,29,22,51,
personal,124,164,288,
times,251,387,638,
timei,26,45,71,
small,208,275,483,
manbr,26,44,70,
friendsyou,28,29,57,
thats,369,616,985,
thati,40,58,98,
camping,111,124,235,
laid,74,172,246,
shelter,17,36,53,
money,105,197,302,
wantto,29,47,76,
dig,43,65,108,
did,175,253,428,
die,43,91,134,
events,98,132,230,
edward,27,31,58,
lovebr,122,105,227,
a,2211,3244,5455,
ease,34,21,55,
easy,244,361,605,
east,163,237,400,
authors,56,67,123,
fool,18,33,51,
food,1249,1661,2910,
foot,33,45,78,
community,102,151,253,
hand,78,128,206,
hang,169,257,426,
constant,32,41,73,
spring,27,31,58,
serious,185,246,431,
brain,73,117,190,
individual,26,38,64,
voice,64,85,149,
conscious,27,34,61,
york,83,116,199,
em,16,36,52,
couple,117,221,338,
shes,39,30,69,
self,136,168,304,
math,38,84,122,
list,299,388,687,
fullest,39,34,73,
thing,371,622,993,
garden,86,74,160,
she,95,165,260,
shy,142,184,326,
princess,59,69,128,
possibly,67,104,171,
possible,133,161,294,
teabr,32,29,61,
herebr,43,66,109,
los,33,51,84,
lot,701,1048,1749,
low,67,95,162,
lol,63,82,145,
flowers,36,27,63,
musicals,39,28,67,
solving,29,63,92,
drive,85,145,230,
affection,26,29,55,
practice,65,88,153,
midwest,40,31,71,
pandora,31,43,74,
paying,20,34,54,
n,61,98,159,
holiday,40,24,64,
itmale,0,56,56,
spirited,26,33,59,
justice,56,70,126,
central,26,44,70,
yoga,209,109,318,
taught,27,50,77,
memories,30,29,59,
other,617,997,1614,
philadelphia,27,46,73,
sales,32,27,59,
challenging,43,46,89,
right,473,735,1208,
before,236,381,617,
woods,26,41,67,
moved,301,494,795,
moves,28,27,55,
video,70,222,292,
fly,31,37,68,
use,147,272,419,
life,1194,1577,2771,
motivated,32,40,72,
rather,161,275,436,
activities,99,151,250,
watching,466,608,1074,
average,24,53,77,
sisters,42,41,83,
relax,41,76,117,
youbr,84,109,193,
sense,439,551,990,
frank,37,53,90,
slow,41,75,116,
ways,132,162,294,
available,27,40,67,
bros,15,38,53,
rain,44,49,93,
basically,91,121,212,
becoming,46,65,111,
iphone,62,105,167,
week,273,327,600,
leaving,23,31,54,
fond,14,42,56,
hiphop,60,100,160,
richard,28,31,59,
nothing,201,289,490,
history,131,232,363,
china,29,52,81,
eating,239,287,526,
airbr,23,39,62,
production,15,41,56,
ideally,28,26,54,
stuck,42,74,116,
movie,485,723,1208,
thebest,29,26,55,
thingbr,20,35,55,
boston,31,53,84,
football,40,88,128,
management,27,38,65,
godfather,23,62,85,
telling,66,105,171,
okcupid,48,106,154,
many,540,763,1303,
paper,59,72,131,
shape,26,67,93,
would,792,1101,1893,
anda,33,88,121,
gone,64,86,150,
sky,27,63,90,
ski,28,36,64,
film,92,170,262,
fill,61,74,135,
skinny,20,33,53,
hawaii,21,30,51,
strong,122,173,295,
chick,53,35,88,
cell,68,77,145,
withthe,35,35,70,
farmers,60,25,85,
hmm,20,40,60,
qualities,21,37,58,
relaxed,22,55,77,
bedbr,29,38,67,
pop,144,201,345,
strangers,72,62,134,
shop,38,74,112,
show,342,505,847,
shot,26,48,74,
leaves,28,35,63,
specific,25,68,93,
lies,16,35,51,
